=== year backtest: 2025 ===
capital: $10000  lookback: 3  costs: --slippage-bps 2.0 --half-spread 0.005
overrides: --use-entry-windows --w4-5m-min 0.40 --max-hold-ms 7200000 --hold-score-gate 0.15 --hold-tier 0.001:1800000 --hold-tier 0.003:3600000 --hold-tier 0.005:5400000
total trading days: 261

row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2025-03-25,QQQ,,,,,,,-0.37,,1,,,,,,,,,,0.5341,2025-03-24T08:09:00+00:00,1115,1597
trade,2025-03-25,AAPL,Long,2025-03-25T13:56:00+00:00,2025-03-25T15:56:00+00:00,222.3345,223.3703,1.35,1.40,0.004659,7200000,SessionClose,0.4740,0.2236,0.4318,0.4377,0.5605,0.2155,0.0517,0.5700,,,
summary,2025-03-25,AAPL,,,,,,,1.40,,1,,,,,,,,,,0.7858,2025-03-24T09:23:00+00:00,863,1389
summary,2025-03-25,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7151,2025-03-24T08:09:00+00:00,898,1681
summary,2025-03-25,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6302,2025-03-24T08:14:00+00:00,665,1153
  [60/261] 2025-03-25  +$1.03  (2 trades)  cum: +$95.22
summary,2025-03-26,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6709,2025-03-24T09:14:00+00:00,1245,2280
summary,2025-03-26,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5341,2025-03-24T08:09:00+00:00,1420,2439
summary,2025-03-26,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7858,2025-03-24T09:23:00+00:00,1249,2052
summary,2025-03-26,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7151,2025-03-24T08:09:00+00:00,900,2637
summary,2025-03-26,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6302,2025-03-24T08:14:00+00:00,780,1650
  [61/261] 2025-03-26  +$0.00  (0 trades)  cum: +$95.22
summary,2025-03-27,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7931,2025-03-24T14:49:00+00:00,1054,2888
summary,2025-03-27,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8326,2025-03-24T14:49:00+00:00,1260,3057
summary,2025-03-27,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.8080,2025-03-24T13:38:00+00:00,1592,2469
trade,2025-03-27,NVDA,Long,2025-03-27T14:53:00+00:00,2025-03-27T15:56:00+00:00,113.6527,112.7324,2.64,-2.43,-0.008097,3780000,SessionClose,0.3708,0.0000,0.3224,0.5472,0.0342,0.4725,-0.4704,-0.2573,,,
summary,2025-03-27,NVDA,,,,,,,-2.43,,1,,,,,,,,,,0.9593,2025-03-24T14:53:00+00:00,747,3267
summary,2025-03-27,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4300,2025-03-25T14:22:00+00:00,719,2014
  [62/261] 2025-03-27  $-2.43  (1 trades)  cum: +$92.79
summary,2025-03-28,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7739,2025-03-25T14:41:00+00:00,410,2861
summary,2025-03-28,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8521,2025-03-25T14:44:00+00:00,611,3017
summary,2025-03-28,AAPL,,,,,,,0.00,,0,,,,,,,,,,1.0000,2025-03-25T13:37:00+00:00,1005,2423
summary,2025-03-28,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6436,2025-03-25T16:08:00+00:00,556,3267
summary,2025-03-28,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7425,2025-03-25T13:41:00+00:00,303,1944
  [63/261] 2025-03-28  +$0.00  (0 trades)  cum: +$92.79
summary,2025-03-31,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4697,2025-03-28T13:38:00+00:00,166,1274
summary,2025-03-31,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5057,2025-03-28T13:42:00+00:00,123,1304
