row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2024-04-08,NVDA,,,,,,,-0.81,,1,,,,,,,,,,0.9637,2024-04-05T14:58:00+00:00,743,1179
trade,2024-04-08,MSFT,Long,2024-04-08T14:23:00+00:00,2024-04-08T15:16:00+00:00,426.4129,425.8772,0.70,-0.38,-0.001256,3180000,ScoreExit,0.4004,-0.0638,0.4753,0.3548,0.4666,-0.3141,-0.2295,0.3510,,,
summary,2024-04-08,MSFT,,,,,,,-0.38,,1,,,,,,,,,,0.9581,2024-04-05T14:50:00+00:00,754,957
summary,2024-04-09,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4252,2024-04-08T11:02:00+00:00,684,1322
summary,2024-04-09,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4816,2024-04-08T14:51:00+00:00,749,1417
trade,2024-04-09,AAPL,Long,2024-04-09T13:36:00+00:00,2024-04-09T14:31:00+00:00,168.9747,169.0943,1.78,0.21,0.000708,3300000,ScoreExit,0.3596,-0.1570,0.5393,0.3363,0.3463,-0.5312,-0.3047,0.2632,,,
summary,2024-04-09,AAPL,,,,,,,0.21,,1,,,,,,,,,,0.4127,2024-04-09T19:33:00+00:00,534,1293
summary,2024-04-09,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6178,2024-04-08T12:29:00+00:00,297,1350
summary,2024-04-09,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5728,2024-04-08T14:30:00+00:00,503,1010
summary,2024-04-10,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4252,2024-04-08T11:02:00+00:00,880,2064
summary,2024-04-10,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4816,2024-04-08T14:51:00+00:00,1016,2233
summary,2024-04-10,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.4127,2024-04-09T19:33:00+00:00,916,2033
trade,2024-04-10,NVDA,Long,2024-04-10T13:36:00+00:00,2024-04-10T15:01:00+00:00,848.5096,863.5458,0.11,1.62,0.017721,5100000,ScoreExit,0.7261,-0.0541,0.7844,0.9317,0.2954,-0.4938,-0.2713,0.5268,,,
summary,2024-04-10,NVDA,,,,,,,1.62,,1,,,,,,,,,,0.8167,2024-04-10T13:44:00+00:00,580,2161
summary,2024-04-10,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.5728,2024-04-08T14:30:00+00:00,597,1583
summary,2024-04-11,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7697,2024-04-08T14:54:00+00:00,952,2672
summary,2024-04-11,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.8584,2024-04-08T14:51:00+00:00,1233,2807
summary,2024-04-11,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5564,2024-04-11T17:34:00+00:00,1206,2574
trade,2024-04-11,NVDA,Long,2024-04-11T14:36:00+00:00,2024-04-11T15:56:00+00:00,881.9093,887.3787,0.14,0.75,0.006202,4800000,SessionClose,0.5115,0.3431,0.3311,0.5045,0.5855,0.2783,0.2268,0.5973,,,
summary,2024-04-11,NVDA,,,,,,,0.75,,1,,,,,,,,,,0.8973,2024-04-08T14:33:00+00:00,1089,2746
summary,2024-04-11,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8352,2024-04-08T14:30:00+00:00,919,2100
summary,2024-04-12,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6535,2024-04-09T20:02:00+00:00,923,2758
summary,2024-04-12,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6612,2024-04-09T20:02:00+00:00,1292,2928
summary,2024-04-12,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.8971,2024-04-09T13:40:00+00:00,1652,2731
summary,2024-04-12,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9186,2024-04-10T13:37:00+00:00,1784,2858
summary,2024-04-12,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7173,2024-04-09T13:41:00+00:00,749,2159
summary,2024-04-15,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4556,2024-04-15T08:00:00+00:00,324,1182
summary,2024-04-15,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4797,2024-04-15T08:18:00+00:00,367,1235
summary,2024-04-15,AAPL,,,,,,,0.00,,0,,,,,,,,,,1.0000,2024-04-12T13:36:00+00:00,228,1209
trade,2024-04-15,NVDA,Long,2024-04-15T13:39:00+00:00,2024-04-15T14:41:00+00:00,890.3820,894.8033,0.15,0.66,0.004966,3720000,ScoreExit,0.4346,-0.1778,0.4827,0.3117,0.6645,-0.5512,-0.4871,0.5655,,,
summary,2024-04-15,NVDA,,,,,,,0.66,,1,,,,,,,,,,0.7985,2024-04-15T13:53:00+00:00,358,1205
summary,2024-04-15,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6174,2024-04-12T13:46:00+00:00,297,981
summary,2024-04-16,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4089,2024-04-15T13:02:00+00:00,210,1504
summary,2024-04-16,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3966,2024-04-15T13:14:00+00:00,249,1626
summary,2024-04-16,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6256,2024-04-15T15:05:00+00:00,248,1425
trade,2024-04-16,NVDA,Long,2024-04-16T13:56:00+00:00,2024-04-16T14:36:00+00:00,869.3757,870.7837,0.12,0.17,0.001619,2400000,ScoreExit,0.4905,-0.1546,0.5596,0.5833,0.2821,-0.2099,-0.2867,0.1278,,,
summary,2024-04-16,NVDA,,,,,,,0.17,,1,,,,,,,,,,0.9223,2024-04-15T09:09:00+00:00,752,1519
summary,2024-04-16,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4769,2024-04-15T13:27:00+00:00,299,1172
summary,2024-04-17,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4089,2024-04-15T13:02:00+00:00,285,2348
summary,2024-04-17,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3966,2024-04-15T13:14:00+00:00,268,2492
