row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2023-08-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.4528,2023-07-31T11:09:00+00:00,767,2152
summary,2023-08-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6440,2023-08-01T14:56:00+00:00,606,2135
summary,2023-08-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4964,2023-08-01T14:49:00+00:00,560,1884
summary,2023-08-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3767,2023-07-31T20:00:00+00:00,419,2948
summary,2023-08-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4997,2023-07-31T15:04:00+00:00,428,3044
summary,2023-08-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.7949,2023-07-31T15:04:00+00:00,603,2778
trade,2023-08-03,NVDA,Long,2023-08-03T13:39:00+00:00,2023-08-03T14:26:00+00:00,444.0382,443.6250,0.67,-0.28,-0.000931,2820000,ScoreExit,0.5542,-0.1409,0.6192,0.7838,0.0733,-0.5703,-0.1806,0.0817,,,
summary,2023-08-03,NVDA,,,,,,,-0.28,,1,,,,,,,,,,0.8604,2023-07-31T13:43:00+00:00,550,2792
summary,2023-08-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6569,2023-07-31T15:03:00+00:00,499,2432
summary,2023-08-04,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3374,2023-08-01T13:37:00+00:00,379,3000
summary,2023-08-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7843,2023-08-01T14:53:00+00:00,522,3090
summary,2023-08-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5017,2023-08-01T13:39:00+00:00,126,2978
trade,2023-08-04,NVDA,Long,2023-08-04T13:39:00+00:00,2023-08-04T13:53:00+00:00,454.3713,449.6914,0.60,-2.81,-0.010300,840000,ScoreExit,0.3819,-0.1327,0.0176,0.5530,0.1613,-0.3604,-0.1762,0.0301,,,
summary,2023-08-04,NVDA,,,,,,,-2.81,,1,,,,,,,,,,0.9632,2023-08-01T14:55:00+00:00,857,2901
trade,2023-08-04,MSFT,Long,2023-08-04T13:32:00+00:00,2023-08-04T13:51:00+00:00,332.2947,332.1453,0.90,-0.13,-0.000449,1140000,ScoreExit,0.4229,-0.1077,0.2951,0.5263,0.2586,-0.4094,-0.2342,0.2459,,,
summary,2023-08-04,MSFT,,,,,,,-0.13,,1,,,,,,,,,,0.9569,2023-08-01T14:41:00+00:00,606,2547
summary,2023-08-07,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5249,2023-08-04T14:56:00+00:00,558,1184
summary,2023-08-07,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7447,2023-08-04T15:03:00+00:00,515,1191
summary,2023-08-07,AAPL,,,,,,,0.00,,0,,,,,,,,,,1.0000,2023-08-04T13:35:00+00:00,65,1275
summary,2023-08-07,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8849,2023-08-04T13:37:00+00:00,585,1137
summary,2023-08-07,MSFT,,,,,,,0.00,,0,,,,,,,,,,1.0000,2023-08-04T13:36:00+00:00,315,973
summary,2023-08-08,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3870,2023-08-07T17:59:00+00:00,604,1471
summary,2023-08-08,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4066,2023-08-07T18:02:00+00:00,642,1498
summary,2023-08-08,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.3973,2023-08-08T19:24:00+00:00,608,1491
summary,2023-08-08,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8086,2023-08-07T09:32:00+00:00,437,1338
summary,2023-08-08,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4952,2023-08-07T13:54:00+00:00,266,1071
summary,2023-08-09,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3870,2023-08-07T17:59:00+00:00,899,2235
summary,2023-08-09,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4066,2023-08-07T18:02:00+00:00,850,2318
summary,2023-08-09,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.4362,2023-08-09T08:27:00+00:00,1002,2292
summary,2023-08-09,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8086,2023-08-07T09:32:00+00:00,466,2118
summary,2023-08-09,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4952,2023-08-07T13:54:00+00:00,286,1662
summary,2023-08-10,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4218,2023-08-07T20:04:00+00:00,1126,2819
summary,2023-08-10,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5528,2023-08-07T19:57:00+00:00,1042,2919
summary,2023-08-10,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.4920,2023-08-09T08:27:00+00:00,1198,2826
trade,2023-08-10,NVDA,Long,2023-08-10T13:31:00+00:00,2023-08-10T15:32:00+00:00,422.3617,424.1377,0.47,0.84,0.004205,7260000,MaxHoldTimeout,0.4125,0.0000,0.3656,0.5817,0.0897,-0.4279,-0.2211,-0.3494,,,
summary,2023-08-10,NVDA,,,,,,,0.84,,1,,,,,,,,,,0.7488,2023-08-07T14:26:00+00:00,392,2771
summary,2023-08-10,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6579,2023-08-07T13:54:00+00:00,421,2195
summary,2023-08-11,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5186,2023-08-08T19:42:00+00:00,1059,2782
summary,2023-08-11,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5201,2023-08-08T19:45:00+00:00,909,2925
summary,2023-08-11,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6104,2023-08-08T14:29:00+00:00,1077,2740
summary,2023-08-11,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7897,2023-08-08T13:34:00+00:00,259,2772
summary,2023-08-11,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7270,2023-08-08T13:41:00+00:00,563,2222
summary,2023-08-14,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7376,2023-08-11T14:40:00+00:00,691,1154
summary,2023-08-14,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7716,2023-08-11T14:21:00+00:00,705,1169
summary,2023-08-14,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9200,2023-08-11T14:40:00+00:00,659,1138
trade,2023-08-14,NVDA,Long,2023-08-14T13:41:00+00:00,2023-08-14T15:42:00+00:00,410.5481,428.4667,0.61,10.96,0.043646,7260000,MaxHoldTimeout,0.5626,0.4639,0.7137,0.6556,0.3262,0.3434,0.2255,0.9809,,,
summary,2023-08-14,NVDA,,,,,,,10.96,,1,,,,,,,,,,0.9387,2023-08-14T14:14:00+00:00,402,1210
summary,2023-08-14,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8977,2023-08-11T14:16:00+00:00,615,955
summary,2023-08-15,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5470,2023-08-14T14:53:00+00:00,574,1483
summary,2023-08-15,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6479,2023-08-14T14:51:00+00:00,892,1553
summary,2023-08-15,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6106,2023-08-14T14:51:00+00:00,779,1395
trade,2023-08-15,NVDA,Long,2023-08-15T13:36:00+00:00,2023-08-15T13:45:00+00:00,448.0294,444.8815,0.43,-1.37,-0.007026,540000,ScoreExit,0.5472,-0.0550,0.2009,0.6310,0.4950,-0.6248,-0.2351,0.4950,,,
summary,2023-08-15,NVDA,,,,,,,-1.37,,1,,,,,,,,,,0.9387,2023-08-14T14:14:00+00:00,1155,1552
summary,2023-08-15,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6519,2023-08-14T14:54:00+00:00,608,1080
summary,2023-08-16,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5470,2023-08-14T14:53:00+00:00,574,2318
summary,2023-08-16,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6479,2023-08-14T14:51:00+00:00,892,2385
summary,2023-08-16,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6106,2023-08-14T14:51:00+00:00,804,2139
summary,2023-08-16,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9387,2023-08-14T14:14:00+00:00,1658,2398
summary,2023-08-16,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6519,2023-08-14T14:54:00+00:00,730,1638
summary,2023-08-17,SPY,,,,,,,0.00,,0,,,,,,,,,,0.8891,2023-08-14T14:53:00+00:00,536,2908
summary,2023-08-17,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9561,2023-08-14T14:51:00+00:00,900,2987
summary,2023-08-17,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9559,2023-08-14T14:51:00+00:00,669,2677
summary,2023-08-17,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2023-08-14T13:33:00+00:00,1878,2969
summary,2023-08-17,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9600,2023-08-14T14:54:00+00:00,680,2132
summary,2023-08-18,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3385,2023-08-16T13:49:00+00:00,186,2902
summary,2023-08-18,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4841,2023-08-15T13:39:00+00:00,184,3001
summary,2023-08-18,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.4011,2023-08-16T14:18:00+00:00,291,2731
summary,2023-08-18,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2023-08-15T13:33:00+00:00,671,2877
summary,2023-08-18,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6733,2023-08-15T13:39:00+00:00,376,2196
summary,2023-08-21,SPY,,,,,,,0.00,,0,,,,,,,,,,0.8069,2023-08-18T15:04:00+00:00,875,1205
summary,2023-08-21,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7092,2023-08-18T15:04:00+00:00,1017,1242
summary,2023-08-21,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9027,2023-08-18T15:00:00+00:00,960,1141
trade,2023-08-21,NVDA,Long,2023-08-21T13:31:00+00:00,2023-08-21T15:11:00+00:00,442.7637,449.7100,0.68,4.71,0.015689,6000000,ScoreExit,0.5319,-0.1224,-0.5424,0.5035,0.9467,-0.6108,-0.5121,0.8196,,,
summary,2023-08-21,NVDA,,,,,,,4.71,,1,,,,,,,,,,0.8246,2023-08-21T13:59:00+00:00,1173,1262
trade,2023-08-21,MSFT,Long,2023-08-21T14:01:00+00:00,2023-08-21T15:08:00+00:00,319.8509,318.2994,0.94,-1.46,-0.004851,4020000,ScoreExit,0.5120,-0.0524,0.4371,0.5348,0.4913,-0.5506,-0.2327,0.4743,,,
