row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_reason,candle_pattern,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2025-07-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.7243,2025-06-30T11:24:00+00:00,390,1585
trade,2025-07-03,SPY,Long,2025-07-03T13:51:00+00:00,2025-07-03T15:56:00+00:00,624.0221,625.7772,0.48,0.84,0.002812,7500000,MaxHoldTimeout,window:strong core,hammer,0.4004,0.1493,0.4702,0.4077,0.3626,-0.0562,0.0555,0.4055,,,
summary,2025-07-03,SPY,,,,,,,0.84,,1,,,,,,,,,,,,0.5097,2025-06-30T19:53:00+00:00,1751,2848
summary,2025-07-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.5384,2025-06-30T19:54:00+00:00,1502,2942
trade,2025-07-03,AAPL,Long,2025-07-03T13:36:00+00:00,2025-07-03T15:56:00+00:00,212.4337,214.4140,1.41,2.80,0.009322,8400000,SessionClose,window:candle reversal,shooting_star,0.2791,0.1879,0.2271,0.2229,0.4086,0.1960,0.0458,0.4693,,,
summary,2025-07-03,AAPL,,,,,,,2.80,,1,,,,,,,,,,,,0.8455,2025-06-30T19:30:00+00:00,2235,2927
trade,2025-07-03,MSFT,Long,2025-07-03T13:53:00+00:00,2025-07-03T15:56:00+00:00,495.4536,499.4251,0.61,2.41,0.008016,7380000,SessionClose,window:candle reversal,shooting_star,0.2692,0.2039,0.3063,0.2902,0.2147,0.0681,0.1186,0.4199,,,
summary,2025-07-03,MSFT,,,,,,,2.41,,1,,,,,,,,,,,,0.5837,2025-06-30T15:50:00+00:00,565,1927
summary,2025-07-04,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.4474,2025-07-01T16:14:00+00:00,1460,2064
summary,2025-07-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.4483,2025-07-02T14:34:00+00:00,1197,2107
summary,2025-07-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.8967,2025-07-01T13:49:00+00:00,1501,2076
summary,2025-07-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.5345,2025-07-03T14:08:00+00:00,438,1387
summary,2025-07-07,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.3860,2025-07-07T10:09:00+00:00,181,656
summary,2025-07-07,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.4026,2025-07-07T10:13:00+00:00,177,689
trade,2025-07-07,AAPL,Long,2025-07-07T13:31:00+00:00,2025-07-07T15:23:00+00:00,214.7694,211.8614,1.40,-4.06,-0.013540,6720000,TrailingStop,window:strong core,hammer,0.6070,0.0000,0.6479,0.4036,1.0000,-0.5587,-0.0868,-1.0000,,,
summary,2025-07-07,AAPL,,,,,,,-4.06,,1,,,,,,,,,,,,0.6108,2025-07-07T13:31:00+00:00,94,618
summary,2025-07-07,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.8453,2025-07-07T10:03:00+00:00,250,509
summary,2025-07-08,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.3860,2025-07-07T10:09:00+00:00,536,1487
summary,2025-07-08,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.4026,2025-07-07T10:13:00+00:00,638,1558
summary,2025-07-08,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.6108,2025-07-07T13:31:00+00:00,230,1419
summary,2025-07-08,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.8453,2025-07-07T10:03:00+00:00,496,984
trade,2025-07-09,SPY,Long,2025-07-09T13:53:00+00:00,2025-07-09T14:26:00+00:00,624.7124,623.7578,0.48,-0.46,-0.001528,1980000,ScoreExit,window:candle reversal,shooting_star,0.3111,-0.1270,0.3826,0.3289,0.2518,-0.4754,-0.2106,0.1564,,,
summary,2025-07-09,SPY,,,,,,,-0.46,,1,,,,,,,,,,,,0.3860,2025-07-07T10:09:00+00:00,1051,2241
summary,2025-07-09,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.4281,2025-07-09T13:45:00+00:00,1179,2354
summary,2025-07-09,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.6108,2025-07-07T13:31:00+00:00,334,2119
trade,2025-07-09,MSFT,Long,2025-07-09T13:41:00+00:00,2025-07-09T14:41:00+00:00,502.9258,502.8641,0.60,-0.04,-0.000123,3600000,ScoreExit,window:strong core,hammer,0.4709,-0.1075,0.5603,0.4725,0.4380,-0.2649,-0.2848,0.2997,,,
summary,2025-07-09,MSFT,,,,,,,-0.04,,1,,,,,,,,,,,,0.8453,2025-07-07T10:03:00+00:00,901,1534
summary,2025-07-10,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.3875,2025-07-09T13:49:00+00:00,1497,2808
summary,2025-07-10,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.4315,2025-07-09T13:45:00+00:00,1574,2913
trade,2025-07-10,AAPL,Long,2025-07-10T13:50:00+00:00,2025-07-10T15:51:00+00:00,210.8532,212.7212,1.42,2.66,0.008859,7260000,ScoreExit,window:candle reversal,shooting_star,0.2676,-0.0607,0.1174,0.3264,0.2001,-0.2880,-0.2300,0.3538,,,
summary,2025-07-10,AAPL,,,,,,,2.66,,1,,,,,,,,,,,,1.0000,2025-07-07T13:31:00+00:00,903,2665
summary,2025-07-10,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.5692,2025-07-09T10:35:00+00:00,1061,1958
summary,2025-07-11,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.4378,2025-07-09T13:49:00+00:00,1691,2846
summary,2025-07-11,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.5052,2025-07-08T14:40:00+00:00,1609,2914
summary,2025-07-11,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.9578,2025-07-08T15:00:00+00:00,1648,2618
trade,2025-07-11,MSFT,Long,2025-07-11T14:18:00+00:00,2025-07-11T15:15:00+00:00,501.9405,501.5745,0.60,-0.22,-0.000729,3420000,ScoreExit,window:5m thrust,shooting_star,0.3826,-0.0710,0.3070,0.5045,0.1640,-0.5785,-0.1283,0.2127,,,
summary,2025-07-11,MSFT,,,,,,,-0.22,,1,,,,,,,,,,,,0.6172,2025-07-09T10:35:00+00:00,1186,1984
summary,2025-07-14,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.5536,2025-07-11T14:44:00+00:00,528,1186
summary,2025-07-14,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.5335,2025-07-11T14:26:00+00:00,571,1229
summary,2025-07-14,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.8890,2025-07-11T14:11:00+00:00,250,1147
summary,2025-07-14,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.8666,2025-07-11T15:02:00+00:00,582,878
summary,2025-07-15,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7201,2025-07-14T09:24:00+00:00,942,1501
summary,2025-07-15,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.6344,2025-07-14T09:24:00+00:00,1098,1569
