row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2023-02-28,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5529,2023-02-27T10:14:00+00:00,800,1519
summary,2023-02-28,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6604,2023-02-27T09:35:00+00:00,554,1368
summary,2023-03-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6604,2023-02-27T09:35:00+00:00,554,2246
summary,2023-03-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7161,2023-02-27T15:08:00+00:00,684,3053
summary,2023-03-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.8085,2023-02-27T14:57:00+00:00,513,2806
summary,2023-03-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6288,2023-02-28T16:02:00+00:00,1391,2996
summary,2023-03-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6356,2023-02-28T14:46:00+00:00,1232,3076
summary,2023-03-03,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6316,2023-02-28T14:40:00+00:00,1144,2338
trade,2023-03-06,SPY,Long,2023-03-06T15:42:00+00:00,2023-03-06T15:56:00+00:00,407.0171,406.7729,0.74,-0.18,-0.000600,840000,SessionClose,0.4096,0.0491,0.4530,0.3741,0.4662,-0.1893,-0.1198,0.4662,,,
summary,2023-03-06,SPY,,,,,,,-0.18,,1,,,,,,,,,,0.6280,2023-03-03T15:29:00+00:00,959,1161
trade,2023-03-06,QQQ,Long,2023-03-06T15:11:00+00:00,2023-03-06T15:56:00+00:00,301.9356,303.2540,0.99,1.31,0.004367,2700000,SessionClose,0.4255,0.2700,0.4634,0.3504,0.5630,0.1116,0.1499,0.5630,,,
summary,2023-03-06,QQQ,,,,,,,1.31,,1,,,,,,,,,,0.8838,2023-03-03T15:32:00+00:00,960,1159
summary,2023-03-06,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9982,2023-03-03T14:41:00+00:00,1055,1153
trade,2023-03-06,NVDA,Long,2023-03-06T15:11:00+00:00,2023-03-06T15:56:00+00:00,238.3566,242.2123,1.26,4.85,0.016176,2700000,SessionClose,0.4424,0.5347,0.4865,0.2597,0.7931,0.5203,0.4080,0.7931,,,
trade,2023-03-06,NVDA,Long,2023-03-06T15:58:00+00:00,2023-03-06T15:59:00+00:00,242.5077,241.8324,1.24,-0.84,-0.002785,60000,SessionClose,0.5353,0.4592,0.5257,0.4080,0.7931,-0.2356,0.4080,0.7931,,,
summary,2023-03-06,NVDA,,,,,,,4.02,,2,,,,,,,,,,0.6437,2023-03-03T17:58:00+00:00,788,1098
summary,2023-03-07,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4822,2023-03-06T15:44:00+00:00,389,1444
summary,2023-03-07,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6758,2023-03-06T15:27:00+00:00,396,1287
summary,2023-03-08,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6113,2023-03-06T15:41:00+00:00,386,2284
summary,2023-03-08,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5801,2023-03-06T16:14:00+00:00,512,2160
trade,2023-03-09,QQQ,Long,2023-03-09T15:04:00+00:00,2023-03-09T15:18:00+00:00,300.8952,299.1545,1.00,-1.74,-0.005785,840000,ScoreExit,0.4024,-0.0708,0.5525,0.4164,0.3245,-0.5760,-0.1317,0.2192,,,
summary,2023-03-09,QQQ,,,,,,,-1.74,,1,,,,,,,,,,0.9548,2023-03-06T15:43:00+00:00,343,2903
summary,2023-03-09,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.9554,2023-03-06T15:41:00+00:00,472,2639
summary,2023-03-09,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9560,2023-03-06T15:44:00+00:00,1120,2639
summary,2023-03-09,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9553,2023-03-06T15:41:00+00:00,418,2092
summary,2023-03-10,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3806,2023-03-09T14:00:00+00:00,414,3016
summary,2023-03-10,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6949,2023-03-07T15:36:00+00:00,567,3017
summary,2023-03-10,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7652,2023-03-07T14:37:00+00:00,395,2197
trade,2023-03-13,QQQ,Long,2023-03-13T13:57:00+00:00,2023-03-13T15:56:00+00:00,290.1020,292.4272,1.03,2.40,0.008015,7140000,SessionClose,0.4155,0.2557,0.6105,0.4099,0.3616,-0.5287,0.1237,0.7810,,,
summary,2023-03-13,QQQ,,,,,,,2.40,,1,,,,,,,,,,0.9571,2023-03-10T15:59:00+00:00,585,1212
trade,2023-03-13,NVDA,Long,2023-03-13T14:34:00+00:00,2023-03-13T14:51:00+00:00,229.8839,227.4018,1.01,-2.50,-0.010798,1020000,ScoreExit,0.4304,-0.0761,0.5839,0.4822,0.2756,-0.4275,-0.0728,0.0344,,,
summary,2023-03-13,NVDA,,,,,,,-2.50,,1,,,,,,,,,,0.9495,2023-03-10T15:56:00+00:00,539,1153
summary,2023-03-14,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6538,2023-03-13T14:08:00+00:00,1091,1575
trade,2023-03-14,AAPL,Long,2023-03-14T13:36:00+00:00,2023-03-14T15:37:00+00:00,152.0606,153.1091,1.98,2.07,0.006895,7260000,MaxHoldTimeout,0.3831,0.3741,0.5522,0.2506,0.5916,0.3216,0.2887,0.5624,,,
summary,2023-03-14,AAPL,,,,,,,2.07,,1,,,,,,,,,,0.7327,2023-03-13T14:08:00+00:00,928,1460
summary,2023-03-14,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7589,2023-03-13T08:14:00+00:00,959,1370
summary,2023-03-14,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6965,2023-03-13T14:33:00+00:00,949,1245
summary,2023-03-15,SPY,,,,,,,0.00,,0,,,,,,,,,,0.6334,2023-03-13T14:07:00+00:00,1263,2503
summary,2023-03-15,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7589,2023-03-13T08:14:00+00:00,1541,2187
summary,2023-03-15,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6965,2023-03-13T14:33:00+00:00,1460,1953
trade,2023-03-16,SPY,Long,2023-03-16T14:49:00+00:00,2023-03-16T15:56:00+00:00,390.0820,393.6169,0.77,2.72,0.009062,4020000,SessionClose,0.4027,0.3319,0.5616,0.4200,0.3152,0.4013,0.2761,0.4203,,,
summary,2023-03-16,SPY,,,,,,,2.72,,1,,,,,,,,,,0.9561,2023-03-13T14:56:00+00:00,1840,3086
trade,2023-03-16,QQQ,Long,2023-03-16T14:46:00+00:00,2023-03-16T15:56:00+00:00,300.5651,304.6236,1.00,4.06,0.013503,4200000,SessionClose,0.4477,0.3499,0.5391,0.4446,0.4235,0.2383,0.2593,0.5681,,,
summary,2023-03-16,QQQ,,,,,,,4.06,,1,,,,,,,,,,0.9504,2023-03-13T15:02:00+00:00,2350,3043
summary,2023-03-17,SPY,,,,,,,0.00,,0,,,,,,,,,,0.8789,2023-03-14T14:52:00+00:00,1506,3137
trade,2023-03-17,QQQ,Long,2023-03-17T13:38:00+00:00,2023-03-17T14:16:00+00:00,307.2171,307.6477,0.98,0.42,0.001401,2280000,ScoreExit,0.4016,-0.1054,0.4055,0.4136,0.3761,-0.5428,-0.1953,0.2202,,,
summary,2023-03-17,QQQ,,,,,,,0.42,,1,,,,,,,,,,0.9272,2023-03-14T14:48:00+00:00,2127,3080
trade,2023-03-17,AAPL,Long,2023-03-17T14:01:00+00:00,2023-03-17T14:16:00+00:00,156.0618,155.9182,1.92,-0.28,-0.000920,900000,ScoreExit,0.3573,-0.1159,0.5498,0.4011,0.2056,-0.5566,-0.2032,0.2056,,,
summary,2023-03-17,AAPL,,,,,,,-0.28,,1,,,,,,,,,,0.9315,2023-03-14T13:45:00+00:00,1662,2735
summary,2023-03-17,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2023-03-14T13:37:00+00:00,2162,2855
trade,2023-03-20,SPY,Long,2023-03-20T14:01:00+00:00,2023-03-20T14:18:00+00:00,392.4427,391.4015,0.76,-0.80,-0.002653,1020000,ScoreExit,0.4259,-0.0627,0.5554,0.3781,0.4784,-0.4097,-0.2056,0.3388,,,
summary,2023-03-20,SPY,,,,,,,-0.80,,1,,,,,,,,,,0.4921,2023-03-17T14:03:00+00:00,496,1223
summary,2023-03-20,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2023-03-17T13:33:00+00:00,360,1123
summary,2023-03-20,MSFT,,,,,,,0.00,,0,,,,,,,,,,1.0000,2023-03-17T13:37:00+00:00,328,1114
trade,2023-03-21,SPY,Long,2023-03-21T13:31:00+00:00,2023-03-21T14:13:00+00:00,397.7343,397.1358,0.75,-0.45,-0.001505,2520000,ScoreExit,0.4172,-0.0521,0.4292,0.3575,0.5327,-0.2851,-0.2540,0.4295,,,
summary,2023-03-21,SPY,,,,,,,-0.45,,1,,,,,,,,,,0.8715,2023-03-20T09:07:00+00:00,1280,1570
trade,2023-03-21,NVDA,Long,2023-03-21T13:56:00+00:00,2023-03-21T14:06:00+00:00,262.3337,261.6365,1.15,-0.80,-0.002658,600000,ScoreExit,0.4290,-0.0677,0.5387,0.2942,0.6621,-0.4752,-0.1913,0.3154,,,
summary,2023-03-21,NVDA,,,,,,,-0.80,,1,,,,,,,,,,0.9571,2023-03-20T09:38:00+00:00,1101,1385
summary,2023-03-21,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.9219,2023-03-20T09:34:00+00:00,528,1327
summary,2023-03-22,SPY,,,,,,,0.00,,0,,,,,,,,,,0.8715,2023-03-20T09:07:00+00:00,1792,2419
