row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2024-01-01,SPY,,,,,,,0.00,,0,,,,,,,,,,0.3048,2023-12-29T18:49:00+00:00,139,524
summary,2024-01-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3697,2023-12-29T18:49:00+00:00,117,518
summary,2024-01-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.2988,2023-12-29T20:28:00+00:00,33,543
summary,2024-01-01,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.7619,2023-12-29T18:49:00+00:00,146,555
summary,2024-01-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.4216,2023-12-29T19:24:00+00:00,183,464
summary,2024-01-02,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,154,655
summary,2024-01-02,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.3856,2024-01-02T21:00:00+00:00,74,658
summary,2024-01-02,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,120,636
summary,2024-01-02,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.6957,2024-01-02T16:46:00+00:00,266,618
summary,2024-01-02,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7736,2024-01-02T13:02:00+00:00,168,527
summary,2024-01-03,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4159,2024-01-02T16:49:00+00:00,371,1444
summary,2024-01-03,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.4025,2024-01-02T21:03:00+00:00,179,1490
summary,2024-01-03,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6821,2024-01-02T10:21:00+00:00,216,1436
trade,2024-11-18,AAPL,Long,2024-11-18T15:38:00+00:00,2024-11-18T15:39:00+00:00,228.7036,228.3079,1.31,-0.52,-0.001730,60000,ScoreExit,0.4068,0.3471,0.3115,0.3310,0.5903,-0.2860,0.3310,0.5903,,,
trade,2024-11-18,AAPL,Long,2024-11-18T15:41:00+00:00,2024-11-18T15:42:00+00:00,228.6937,228.6264,1.31,-0.09,-0.000294,60000,ScoreExit,0.3539,0.3717,0.3193,0.2414,0.5903,0.4981,0.2414,0.5903,,,
trade,2024-11-18,AAPL,Long,2024-11-18T15:44:00+00:00,2024-11-18T15:45:00+00:00,228.6336,228.4165,1.31,-0.28,-0.000950,60000,ScoreExit,0.3203,0.2883,-0.0160,0.2414,0.5903,-0.3361,0.2414,0.5903,,,
trade,2024-11-18,AAPL,Long,2024-11-18T15:47:00+00:00,2024-11-18T15:48:00+00:00,228.6886,228.5164,1.31,-0.23,-0.000753,60000,ScoreExit,0.3964,0.3917,0.1320,0.3436,0.5903,0.0844,0.3436,0.5903,,,
trade,2024-11-18,AAPL,Long,2024-11-18T15:51:00+00:00,2024-11-18T15:52:00+00:00,228.7820,228.7366,1.31,-0.06,-0.000199,60000,ScoreExit,0.3944,0.4092,0.3993,0.2956,0.5903,0.5474,0.2956,0.5903,,,
trade,2024-11-18,AAPL,Long,2024-11-18T15:54:00+00:00,2024-11-18T15:55:00+00:00,228.8336,228.6964,1.31,-0.18,-0.000600,60000,ScoreExit,0.3739,0.3681,0.1949,0.2956,0.5903,0.1362,0.2956,0.5903,,,
trade,2024-11-18,AAPL,Long,2024-11-18T15:57:00+00:00,2024-11-18T15:58:00+00:00,228.5535,228.4364,1.31,-0.15,-0.000512,60000,ScoreExit,0.1321,0.1349,-0.4950,0.0075,0.5903,-0.4664,0.0075,0.5903,,,
trade,2024-11-18,AAPL,Long,2024-11-18T16:00:00+00:00,2024-11-18T16:01:00+00:00,228.4835,228.3365,1.31,-0.19,-0.000644,60000,ScoreExit,0.1316,0.1093,-0.4997,0.0075,0.5903,-0.5165,0.0044,0.5277,,,
summary,2024-11-18,AAPL,,,,,,,-4.97,,24,,,,,,,,,,0.5294,2024-11-18T15:17:00+00:00,455,1038
trade,2024-11-18,MSFT,Long,2024-11-18T15:33:00+00:00,2024-11-18T15:34:00+00:00,417.9603,417.7546,0.72,-0.15,-0.000492,60000,ScoreExit,0.4794,0.4842,0.5613,0.4859,0.4392,0.5762,0.4859,0.4502,,,
