row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_reason,candle_pattern,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2023-08-09,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.4362,2023-08-09T08:27:00+00:00,1003,2292
summary,2023-08-09,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.4952,2023-08-07T13:54:00+00:00,287,1662
trade,2023-08-10,SPY,Long,2023-08-10T13:51:00+00:00,2023-08-10T14:37:00+00:00,450.5301,450.6198,0.67,0.06,0.000199,2760000,ScoreExit,window:strong core,three_outside_up,0.3775,-0.0640,0.3977,0.4105,0.3049,-0.4065,-0.1628,0.2480,,,
summary,2023-08-10,SPY,,,,,,,0.06,,1,,,,,,,,,,,,0.4218,2023-08-07T20:04:00+00:00,1136,2819
trade,2023-08-10,QQQ,Long,2023-08-10T13:51:00+00:00,2023-08-10T14:38:00+00:00,373.0619,372.6732,0.80,-0.31,-0.001042,2820000,ScoreExit,window:strong core,,0.4063,-0.0725,0.5348,0.4073,0.3617,-0.5275,-0.1596,0.2533,,,
summary,2023-08-10,QQQ,,,,,,,-0.31,,1,,,,,,,,,,,,0.5565,2023-08-07T19:57:00+00:00,1045,2919
trade,2023-08-10,AAPL,Long,2023-08-10T13:56:00+00:00,2023-08-10T14:38:00+00:00,180.3241,179.9810,1.66,-0.57,-0.001903,2520000,ScoreExit,window:strong core,,0.3921,-0.0637,0.5525,0.4012,0.3204,-0.4004,-0.1538,0.2286,,,
summary,2023-08-10,AAPL,,,,,,,-0.57,,1,,,,,,,,,,,,0.4920,2023-08-09T08:27:00+00:00,1201,2826
summary,2023-08-10,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.6579,2023-08-07T13:54:00+00:00,424,2195
summary,2023-08-11,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.5186,2023-08-08T19:42:00+00:00,1066,2782
summary,2023-08-11,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.5201,2023-08-08T19:45:00+00:00,912,2925
summary,2023-08-11,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.6104,2023-08-08T14:29:00+00:00,1084,2740
summary,2023-08-11,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.7270,2023-08-08T13:41:00+00:00,563,2222
trade,2023-08-14,SPY,Long,2023-08-14T14:38:00+00:00,2023-08-14T15:56:00+00:00,446.9841,447.3527,0.67,0.25,0.000825,4680000,SessionClose,window:strong core,shooting_star,0.4079,0.0557,0.5495,0.4280,0.3205,0.0781,-0.1172,0.3942,,,
summary,2023-08-14,SPY,,,,,,,0.25,,1,,,,,,,,,,,,0.7376,2023-08-11T14:40:00+00:00,696,1154
trade,2023-08-14,QQQ,Long,2023-08-14T14:05:00+00:00,2023-08-14T15:56:00+00:00,367.1051,369.2351,0.82,1.74,0.005802,6660000,SessionClose,window:strong core,three_outside_up,0.3985,0.0321,0.5495,0.4095,0.3262,-0.2092,-0.1547,0.4861,,,
summary,2023-08-14,QQQ,,,,,,,1.74,,1,,,,,,,,,,,,0.7716,2023-08-11T14:21:00+00:00,708,1169
trade,2023-08-14,AAPL,Long,2023-08-14T13:40:00+00:00,2023-08-14T15:41:00+00:00,178.5485,179.1812,1.68,1.06,0.003543,7260000,MaxHoldTimeout,window:strong core,three_outside_up,0.4067,0.1352,0.5775,0.4050,0.3532,0.2607,-0.0651,0.4942,,,
summary,2023-08-14,AAPL,,,,,,,1.06,,1,,,,,,,,,,,,0.9200,2023-08-11T14:40:00+00:00,658,1138
trade,2023-08-14,MSFT,Long,2023-08-14T14:51:00+00:00,2023-08-14T15:56:00+00:00,322.9118,323.2780,0.93,0.34,0.001134,3900000,SessionClose,window:strong core,three_outside_up,0.4980,0.0665,0.5695,0.4843,0.5016,-0.2593,-0.0817,0.4714,,,
summary,2023-08-14,MSFT,,,,,,,0.34,,1,,,,,,,,,,,,0.8977,2023-08-11T14:16:00+00:00,617,955
summary,2023-08-15,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.5470,2023-08-14T14:53:00+00:00,573,1483
summary,2023-08-15,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.6479,2023-08-14T14:51:00+00:00,900,1553
summary,2023-08-15,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.6106,2023-08-14T14:51:00+00:00,781,1395
trade,2023-08-15,MSFT,Long,2023-08-15T13:33:00+00:00,2023-08-15T14:01:00+00:00,323.8321,323.3780,0.93,-0.42,-0.001402,1680000,ScoreExit,window:strong core,three_outside_up,0.3982,-0.1367,0.4438,0.4282,0.3231,-0.4922,-0.2364,0.1811,,,
summary,2023-08-15,MSFT,,,,,,,-0.42,,1,,,,,,,,,,,,0.6519,2023-08-14T14:54:00+00:00,610,1080
summary,2023-08-16,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.5470,2023-08-14T14:53:00+00:00,573,2318
summary,2023-08-16,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.6479,2023-08-14T14:51:00+00:00,900,2385
summary,2023-08-16,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.6106,2023-08-14T14:51:00+00:00,806,2139
summary,2023-08-16,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.6519,2023-08-14T14:54:00+00:00,732,1638
summary,2023-08-17,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.8891,2023-08-14T14:53:00+00:00,536,2908
summary,2023-08-17,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.9561,2023-08-14T14:51:00+00:00,905,2987
summary,2023-08-17,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.9559,2023-08-14T14:51:00+00:00,671,2677
summary,2023-08-17,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.9600,2023-08-14T14:54:00+00:00,684,2132
summary,2023-08-18,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.3513,2023-08-16T13:49:00+00:00,189,2902
summary,2023-08-18,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.4841,2023-08-15T13:39:00+00:00,187,3001
summary,2023-08-18,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.4011,2023-08-16T14:18:00+00:00,291,2731
summary,2023-08-18,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.6733,2023-08-15T13:39:00+00:00,379,2196
trade,2023-08-21,SPY,Long,2023-08-21T14:06:00+00:00,2023-08-21T14:21:00+00:00,438.7266,437.5337,0.68,-0.82,-0.002719,900000,ScoreExit,window:candle reversal,shooting_star,0.3003,-0.0755,0.4674,0.2362,0.3729,-0.5004,-0.2022,0.3194,,,
summary,2023-08-21,SPY,,,,,,,-0.82,,1,,,,,,,,,,,,0.8069,2023-08-18T15:04:00+00:00,876,1205
trade,2023-08-21,QQQ,Long,2023-08-21T13:41:00+00:00,2023-08-21T14:26:00+00:00,361.5534,360.2869,0.83,-1.05,-0.003503,2700000,ScoreExit,window:candle reversal,shooting_star,0.4002,-0.0801,0.5531,0.3239,0.5017,-0.5868,-0.2503,0.4293,,,
summary,2023-08-21,QQQ,,,,,,,-1.05,,1,,,,,,,,,,,,0.7092,2023-08-18T15:04:00+00:00,1020,1242
summary,2023-08-21,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.9027,2023-08-18T15:00:00+00:00,962,1141
trade,2023-08-21,MSFT,Long,2023-08-21T13:51:00+00:00,2023-08-21T15:08:00+00:00,318.9607,318.2994,0.94,-0.62,-0.002073,4620000,ScoreExit,window:strong core,hammer,0.4084,-0.0524,-0.0585,0.4208,0.5390,-0.5506,-0.2327,0.4743,,,
summary,2023-08-21,MSFT,,,,,,,-0.62,,1,,,,,,,,,,,,0.8905,2023-08-18T15:00:00+00:00,819,961
summary,2023-08-22,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7406,2023-08-21T09:25:00+00:00,829,1483
summary,2023-08-22,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.7486,2023-08-21T09:14:00+00:00,1009,1570
trade,2023-08-22,AAPL,Long,2023-08-22T14:56:00+00:00,2023-08-22T15:41:00+00:00,177.2682,176.8569,1.69,-0.70,-0.002320,2700000,ScoreExit,window:candle reversal,shooting_star,0.3841,-0.0657,0.5552,0.3131,0.4689,-0.5304,-0.2202,0.3983,,,
summary,2023-08-22,AAPL,,,,,,,-0.70,,1,,,,,,,,,,,,0.5613,2023-08-21T17:44:00+00:00,988,1415
trade,2023-08-22,MSFT,Long,2023-08-22T14:56:00+00:00,2023-08-22T15:37:00+00:00,324.9825,323.9178,0.92,-0.98,-0.003276,2460000,ScoreExit,window:candle reversal,shooting_star,0.3693,-0.0501,0.5145,0.2823,0.4950,-0.1407,-0.2708,0.4217,,,
